Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,RED_LED,GPIO,Digital,Out,High,,,NORMAL
7,PB08,,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
8,PB09,,SERCOM3_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
9,PA04,,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
10,PA05,,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
11,PA06,GREEN_LED,GPIO,Digital,Out,Low,,,NORMAL
12,PA07,,Available,,,,,,NORMAL
13,PA08,,Available,,,,,,NORMAL
14,PA09,,Available,,,,,,NORMAL
15,PA10,,Available,,,,,,NORMAL
16,PA11,,Available,,,,,,NORMAL
21,PA12,,SERCOM2_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
22,PA13,,SERCOM2_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
23,PA14,,Available,,,,,,NORMAL
24,PA15,LED,GPIO,Digital,Out,Low,,,NORMAL
25,PA16,,Available,,,,,,NORMAL
26,PA17,,Available,,,,,,NORMAL
27,PA18,,Available,,,,,,NORMAL
28,PA19,,Available,,,,,,NORMAL
29,PA20,,Available,,,,,,NORMAL
30,PA21,,PTC_X23/Y23,Analog,High Impedance,n/a,,,NORMAL
31,PA22,,PTC_X16/Y16,Analog,High Impedance,n/a,,,NORMAL
32,PA23,,Available,,,,,,NORMAL
33,PA24,,Available,,,,,,NORMAL
34,PA25,,Available,,,,,,NORMAL
37,PB22,,Available,,,,,,NORMAL
38,PB23,,Available,,,,,,NORMAL
45,PA30,,Available,,,,,,NORMAL
46,PA31,,Available,,,,,,NORMAL
47,PB02,,Available,,,,,,NORMAL
48,PB03,,Available,,,,,,NORMAL
